epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,98.5099,0.59655,0.82353,1,0.50157,0.000551291,0.000551291,0.000551291
2,194.286,0.38978,0.90056,1,0.27082,0.00105216,0.00105216,0.00105216
3,287.75,0.34541,0.94818,1,0.21664,0.00149802,0.00149802,0.00149802
4,381.795,0.30303,0.93417,1,0.16869,0.00141945,0.00141945,0.00141945
5,475.581,0.2776,0.88235,1,0.30803,0.00133693,0.00133693,0.00133693
6,569.037,0.23673,0.90756,1,0.22791,0.00125442,0.00125442,0.00125442
7,662.368,0.20001,0.95798,1,0.10629,0.0011719,0.0011719,0.0011719
8,756.554,0.21707,0.96359,1,0.09712,0.00108938,0.00108938,0.00108938
9,849.908,0.1972,0.96078,1,0.09352,0.00100687,0.00100687,0.00100687
10,943.653,0.16801,0.97479,1,0.06618,0.000924352,0.000924352,0.000924352
11,1037.61,0.18137,0.95798,1,0.11106,0.000841835,0.000841835,0.000841835
12,1131.75,0.16405,0.96359,1,0.09103,0.000759318,0.000759318,0.000759318
13,1230.72,0.16247,0.97899,1,0.07125,0.000676802,0.000676802,0.000676802
14,1401.74,0.16563,0.96499,1,0.1002,0.000594286,0.000594286,0.000594286
15,1520.72,0.13842,0.96218,1,0.11046,0.000511769,0.000511769,0.000511769
16,1955.21,0.1535,0.97059,1,0.07882,0.000429253,0.000429253,0.000429253
